Keyword, Token_1, Token_2, Flag, Fields
AND, 0x80, 0x0, 0x00, --------
ABS, 0x94, 0x0, 0x00, --------
ACS, 0x95, 0x0, 0x00, --------
ADVAL, 0x96, 0x0, 0x00, --------
APPEND, &C7, &8E, 0xA6, 2P-RL-S-
ASC, 0x97, 0x0, 0x00, --------
ASN, 0x98, 0x0, 0x00, --------
ATN, 0x99, 0x0, 0x00, --------
AUTO, 0xC6, 0x0, 0x10, ---L----
BEATS, &C8, &9E, 0xA6, 2P-RL-S-
BEAT, &C6, &8F, 0x85, 2----S-C
BGET, 0x9A, 0x0, 0x01, -------C
BPUT, 0xD5, 0x0, 0x03, ------MC
COLOUR, 0xFB, 0x0, 0x02, ------M-
CALL, 0xD6, 0x0, 0x02, ------M-
CASE, &C8, &8E, 0xA6, 2P-RL-S-
CHAIN, 0xD7, 0x0, 0x02, ------M-
CHR$, 0xBD, 0x0, 0x00, --------
CIRCLE, &C8, &8F, 0xA6, 2P-RL-S-
CLEAR, 0xD8, 0x0, 0x01, -------C
CLOSE, 0xD9, 0x0, 0x03, ------MC
CLG, 0xDA, 0x0, 0x01, -------C
CLS, 0xDB, 0x0, 0x01, -------C
COS, 0x9B, 0x0, 0x00, --------
COUNT, 0x9C, 0x0, 0x01, -------C
CRUNCH, &C7, &90, 0xA6, 2P-RL-S-
COLOR, 0xFB, 0x0, 0x02, ------M-
DATA, 0xDC, 0x0, 0x20, --R-----
DEG, 0x9D, 0x0, 0x00, --------
DEF, 0xDD, 0x0, 0x00, --------
DELETE, 0xC7, 0x0, 0x10, ---L----
DIV, 0x81, 0x0, 0x00, --------
DIM, 0xDE, 0x0, 0x02, ------M-
DRAW, 0xDF, 0x0, 0x02, ------M-
ENDPROC, 0xE1, 0x0, 0x01, -------C
END, 0xE0, 0x0, 0x01, -------C
ENDCASE, &CB, , 0x03, -------MC
ENDIF, &CD, , 0x03, -------MC
ENDWHILE, &CE, , 0x03, -------MC
ENVELOPE, 0xE2, 0x0, 0x02, ------M-
ELSE, 0x8B, 0x0, 0x14, ---L-S--
ELLIPSE, &C8, &9D, 0xA6, 2P-RL-S-
EVAL, 0xA0, 0x0, 0x00, --------
ERL, 0x9E, 0x0, 0x01, -------C
ERROR, 0x85, 0x0, 0x04, -----S--
EOF, 0xC5, 0x0, 0x01, -------C
EOR, 0x82, 0x0, 0x00, --------
ERR, 0x9F, 0x0, 0x01, -------C
EXP, 0xA1, 0x0, 0x00, --------
EXT, 0xA2, 0x0, 0x01, -------C
EDIT, 0xCE, 0x0, 0x10, ---L----
FOR, 0xE3, 0x0, 0x02, ------M-
FALSE, 0xA3, 0x0, 0x01, -------C
FILL, &C8, &90, 0xA6, 2P-RL-S-
FN, 0xA4, 0x0, 0x08, ----F---
GOTO, 0xE5, 0x0, 0x12, ---L--M-
GET$, 0xBE, 0x0, 0x00, --------
GET, 0xA5, 0x0, 0x00, --------
GOSUB, 0xE4, 0x0, 0x12, ---L--M-
GCOL, 0xE6, 0x0, 0x02, ------M-
HIMEM, 0x93, 0x0, 0x43, -P----MC
INPUT, 0xE8, 0x0, 0x02, ------M-
IF, 0xE7, 0x0, 0x02, ------M-
